;journey_id;trip_id;journey_start_datetime;journey_start_date;journey_start_time;journey_start_lon;journey_start_lat;journey_start_insee;journey_start_department;journey_start_town;journey_start_towngroup;journey_start_country;journey_end_datetime;journey_end_date;journey_end_time;journey_end_lon;journey_end_lat;journey_end_insee;journey_end_department;journey_end_town;journey_end_towngroup;journey_end_country;passenger_seats;operator_class;journey_distance;journey_duration;has_incentive
5600;28606900;7f99fce0-4282-4cf3-a0f3-ab6922e93fb2;2024-06-01 12:10:00+02:00;;12:10:00;3.519;43.529;34281;34;Saint-Pargoire;CC Vallée de l'Hérault;France;2024-06-01 13:00:00+02:00;01/06/2024;13:00:00;3.799;43.445;34108;34;Frontignan;CA Sète Agglopôle Méditerranée;France;1;C;35522;46;NON
6066;28637467;eefce224-90ff-49f8-8dd2-7713833f757b;2024-06-01 12:30:00+02:00;;12:30:00;1.967;48.766;78208;78;Élancourt;CA de Saint-Quentin-en-Yvelines;France;2024-06-01 12:50:00+02:00;01/06/2024;12:50:00;1.975;48.804;78490;78;Plaisir;CA de Saint-Quentin-en-Yvelines;France;1;C;11615;17;NON
7506;28639243;810a094c-1c5c-49e1-a6eb-d2883b04df75;2024-06-01 13:50:00+02:00;;13:50:00;55.418;-20.89;97411;974;Saint-Denis;CA Intercommunale du Nord de la Réunion (CINOR);France;2024-06-01 14:10:00+02:00;01/06/2024;14:10:00;55.446;-20.901;97411;974;Saint-Denis;CA Intercommunale du Nord de la Réunion (CINOR);France;1;C;10576;22;NON
7242;28611595;e54185da-e7fc-4b5e-894d-c341f86a76e8;2024-06-01 13:40:00+02:00;;13:40:00;2.274;48.651;91347;91;Longpont-sur-Orge;CA Cœur d'Essonne Agglomération;France;2024-06-01 14:00:00+02:00;01/06/2024;14:00:00;2.385;48.603;91086;91;Bondoufle;CA Grand Paris Sud Seine Essonne Sénart;France;1;C;14349;16;NON
15842;28620969;7c38150f-2221-4fe9-9550-560702566e9c;2024-06-01 20:50:00+02:00;;20:50:00;2.415;48.794;94081;94;Vitry-sur-Seine;Métropole du Grand Paris;France;2024-06-01 20:50:00+02:00;01/06/2024;20:50:00;2.426;48.795;94002;94;Alfortville;Métropole du Grand Paris;France;1;C;1428;5;NON
16617;28624081;487f713f-9e08-4ec7-a834-bd4e6fb8471f;2024-06-01 22:20:00+02:00;;22:20:00;2.104;49.026;95218;95;Éragny;CA de Cergy-Pontoise;France;2024-06-01 22:50:00+02:00;01/06/2024;22:50:00;2.37;48.946;93066;93;Saint-Denis;Métropole du Grand Paris;France;1;C;27493;29;NON
12738;28616708;c3fa2cac-ad21-4339-b548-d63d3ebbc90d;2024-06-01 18:20:00+02:00;;18:20:00;7.691;48.501;67137;67;Fegersheim;Eurométropole de Strasbourg;France;2024-06-01 18:40:00+02:00;01/06/2024;18:40:00;7.771;48.55;67482;67;Strasbourg;Eurométropole de Strasbourg;France;1;C;12222;16;NON
9290;28614239;d9c89eca-9c29-4564-9f9c-851c6e631540;2024-06-01 15:30:00+02:00;;15:30:00;4.074;43.563;34344;34;La Grande-Motte;CA du Pays de l'Or;France;2024-06-01 16:10:00+02:00;01/06/2024;16:10:00;4.432;43.797;30047;30;Bouillargues;CA de Nîmes Métropole;France;1;C;53486;48;NON
2651;28632585;0d5da94a-fa98-4756-b9cd-84e8293fd663;2024-06-01 08:50:00+02:00;;08:50:00;55.287;-20.991;97415;974;Saint-Paul;CA Territoire de la Côte Ouest (TCO);France;2024-06-01 09:10:00+02:00;01/06/2024;09:10:00;55.377;-20.982;97408;974;La Possession;CA Territoire de la Côte Ouest (TCO);France;1;C;18445;26;NON
7157;28638969;42c7458a-9547-460a-8fdc-43d8d355e035;2024-06-01 13:30:00+02:00;;13:30:00;2.383;48.787;94081;94;Vitry-sur-Seine;Métropole du Grand Paris;France;2024-06-01 14:00:00+02:00;01/06/2024;14:00:00;2.447;48.609;91174;91;Corbeil-Essonnes;CA Grand Paris Sud Seine Essonne Sénart;France;1;C;30724;33;NON
