;journey_id;trip_id;journey_start_datetime;journey_start_date;journey_start_time;journey_start_lon;journey_start_lat;journey_start_insee;journey_start_department;journey_start_town;journey_start_towngroup;journey_start_country;journey_end_datetime;journey_end_date;journey_end_time;journey_end_lon;journey_end_lat;journey_end_insee;journey_end_department;journey_end_town;journey_end_towngroup;journey_end_country;passenger_seats;operator_class;journey_distance;journey_duration;has_incentive
8886;30084180;5ea7e274-d2fc-4c39-805b-7018ab89b796;2024-07-01 07:40:00+02:00;2024-07-01;07:40:00;-3.37;47.745;56121;56;Lorient;CA Lorient Agglomération;France;2024-07-01 08:40:00+02:00;2024-07-01;08:40:00;-2.762;47.657;56260;56;Vannes;CA Golfe du Morbihan - Vannes Agglomération;France;1;C;57762;51;NON
9386;30124913;2dc06543-c136-4f92-90e6-52701a5c0414;2024-07-01 07:50:00+02:00;2024-07-01;07:50:00;2.312;48.679;91345;91;Longjumeau;CA Communauté Paris-Saclay;France;2024-07-01 08:30:00+02:00;2024-07-01;08:30:00;1.833;48.531;78003;78;Ablis;CA Rambouillet Territoires;France;1;C;51554;44;NON
31323;30110698;b5bb76fc-d6cd-40f9-97b5-dbc917d9227c;2024-07-01 18:00:00+02:00;2024-07-01;18:00:00;4.916;45.678;69273;69;Corbas;Métropole de Lyon;France;2024-07-01 18:40:00+02:00;2024-07-01;18:40:00;4.986;45.831;01376;01;Saint-Maurice-de-Beynost;CC de Miribel et du Plateau;France;1;C;29605;30;NON
32226;30153902;1e21f03c-5510-4ca6-81e3-ffe3be0850f5;2024-07-01 18:10:00+02:00;2024-07-01;18:10:00;1.387;43.624;31069;31;Blagnac;Toulouse Métropole;France;2024-07-01 18:30:00+02:00;2024-07-01;18:30:00;1.455;43.64;31555;31;Toulouse;Toulouse Métropole;France;1;C;11618;12;NON
13727;30088626;78ca6df2-4d21-4b11-a777-e1fa2411ca30;2024-07-01 08:20:00+02:00;2024-07-01;08:20:00;3.718;43.666;34320;34;Vailhauquès;CC du Grand Pic Saint-Loup;France;2024-07-01 08:50:00+02:00;2024-07-01;08:50:00;3.834;43.642;34172;34;Montpellier;Montpellier Méditerranée Métropole;France;1;C;17745;26;NON
30126;30109780;464f952e-c162-4b80-aa97-969165f1abc1;2024-07-01 17:50:00+02:00;2024-07-01;17:50:00;-0.747;48.05;53130;53;Laval;CA Laval Agglomération;France;2024-07-01 18:10:00+02:00;2024-07-01;18:10:00;-0.689;47.836;53062;53;Château-Gontier-sur-Mayenne;CC du Pays de Château-Gontier;France;1;C;25317;24;NON
34837;30115494;c93d3078-fa8e-4a57-8c4d-4d7896891c56;2024-07-01 20:20:00+02:00;2024-07-01;20:20:00;0.149;47.946;72003;72;Allonnes;CU Le Mans Métropole;France;2024-07-01 20:40:00+02:00;2024-07-01;20:40:00;0.207;47.989;72181;72;Le Mans;CU Le Mans Métropole;France;1;C;10516;15;NON
14120;30077570;a28a4545-6c97-4a11-b764-ed6a22e7e9b4;2024-07-01 08:30:00+02:00;2024-07-01;08:30:00;-0.354;49.172;14118;14;Caen;CU Caen la Mer;France;2024-07-01 08:40:00+02:00;2024-07-01;08:40:00;-0.362;49.168;14118;14;Caen;CU Caen la Mer;France;1;C;1061;3;NON
11957;30125559;fada36f4-f188-4a47-86f9-c7f4e20fd3e3;2024-07-01 08:10:00+02:00;2024-07-01;08:10:00;3.061;45.748;63070;63;Ceyrat;Clermont Auvergne Métropole;France;2024-07-01 08:20:00+02:00;2024-07-01;08:20:00;3.094;45.782;63113;63;Clermont-Ferrand;Clermont Auvergne Métropole;France;1;C;7749;15;NON
2623;30078386;90d28bd2-9606-49c0-9d0a-3c427ccb8215;2024-07-01 06:20:00+02:00;2024-07-01;06:20:00;6.086;45.869;74010;74;Annecy;CA du Grand Annecy;France;2024-07-01 07:00:00+02:00;2024-07-01;07:00:00;6.13;46.18;99140;;;;SUISSE;1;C;45266;44;NON
